ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
1,BOTICÁRIO,1,CABELOS,2018-8-10,17
2,EUDORA,4,SOLAR,2018-10-3,5
5,BELEZA NA WEB,2,PERFUMARIA,2018-1-25,10
2,EUDORA,3,MAQUIAGEM,2018-5-1,18
4,VULT,2,PERFUMARIA,2018-9-29,7
5,BELEZA NA WEB,5,HIDRATANTES,2018-3-24,1
2,EUDORA,3,MAQUIAGEM,2018-3-7,18
3,QUEM DISSE BERENICE,1,CABELOS,2018-7-28,5
3,QUEM DISSE BERENICE,2,PERFUMARIA,2018-6-3,2
1,BOTICÁRIO,2,PERFUMARIA,2018-3-23,15
5,BELEZA NA WEB,5,HIDRATANTES,2018-4-10,7
3,QUEM DISSE BERENICE,4,SOLAR,2018-10-25,17
4,VULT,2,PERFUMARIA,2018-10-27,7
4,VULT,2,PERFUMARIA,2018-10-24,16
3,QUEM DISSE BERENICE,3,MAQUIAGEM,2018-1-29,15
1,BOTICÁRIO,3,MAQUIAGEM,2018-2-6,8
5,BELEZA NA WEB,3,MAQUIAGEM,2018-10-21,18
2,EUDORA,1,CABELOS,2018-6-25,12
2,EUDORA,3,MAQUIAGEM,2018-1-8,12
1,BOTICÁRIO,4,SOLAR,2018-4-14,9
3,QUEM DISSE BERENICE,4,SOLAR,2018-12-21,5
5,BELEZA NA WEB,3,MAQUIAGEM,2018-10-4,19
3,QUEM DISSE BERENICE,1,CABELOS,2018-2-2,20
2,EUDORA,5,HIDRATANTES,2018-9-13,4
5,BELEZA NA WEB,2,PERFUMARIA,2018-8-19,9
5,BELEZA NA WEB,4,SOLAR,2018-10-27,7
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-3-23,8
3,QUEM DISSE BERENICE,5,HIDRATANTES,2018-7-26,3
5,BELEZA NA WEB,1,CABELOS,2018-8-31,9
1,BOTICÁRIO,2,PERFUMARIA,2018-5-13,16
4,VULT,2,PERFUMARIA,2018-3-22,7
1,BOTICÁRIO,2,PERFUMARIA,2018-7-20,7
5,BELEZA NA WEB,4,SOLAR,2018-10-2,20
4,VULT,3,MAQUIAGEM,2018-3-22,12
2,EUDORA,3,MAQUIAGEM,2018-7-17,7
1,BOTICÁRIO,3,MAQUIAGEM,2018-5-2,17
